Product Name,Category
Baby Monitor,Personal Care
Massage Chair,Home Appliances
Dishwasher,Security
3D Printer,Home Appliances
Air Fryer,Entertainment
Robot Vacuum,Kitchen Appliances
Rice Cooker,Outdoor & Travel
Air Fryer,Entertainment
Security Camera,Office Equipment
Garment Steamer,Fitness & Health
Smart Display,Audio & Video
Smart Oven,Gaming
Water Dispenser,Fitness & Health
Bluetooth Tracker,Computers & Accessories
Blender,Smart Home
Monitor,Entertainment
Steamer,Outdoor & Travel
Cat Litter Box,Entertainment
Drone,Personal Care
Drone,Electronics
E-Book Reader,Electronics
Iron,Electronics
Refrigerator,Personal Care
Streaming Stick,Kitchen Appliances
Graphics Card,Electronics
Grill,Computers & Accessories
Steamer,Office Equipment
Bread Maker,Kitchen Appliances
Office Chair,Personal Care
Bread Maker,Audio & Video
Drone,Outdoor & Travel
Fitness Tracker,Outdoor & Travel
Hair Dryer,Security
Electric Shaver,Personal Care
Router,Outdoor & Travel
Bluetooth Tracker,Computers & Accessories
Coffee Maker,Entertainment
Voice Assistant,Audio & Video
Rice Cooker,Personal Care
Air Fryer,Office Equipment
Streaming Stick,Computers & Accessories
Smart Thermostat,Personal Care
Grill,Gaming
Electric Kettle,Audio & Video
Toaster,Kitchen Appliances
Bread Maker,Entertainment
Smart Lock,Audio & Video
Washing Machine,Home Appliances
Smart Display,Kitchen Appliances
Vacuum Sealer,Office Equipment
Sleep Tracker,Electronics
Processor,Gaming
Robot Vacuum,Audio & Video
Projector,Entertainment
Monitor,Office Equipment
Smart Lock,Security
Electric Scooter,Audio & Video
Pressure Cooker,Fitness & Health
Graphics Card,Outdoor & Travel
Iron,Personal Care
Steamer,Home Appliances
Smartphone,Kitchen Appliances
Laptop,Computers & Accessories
Fan,Security
Mouse,Home Appliances
E-Book Reader,Audio & Video
Router,Computers & Accessories
Smartwatch,Computers & Accessories
Smart Light,Home Appliances
Bluetooth Tracker,Audio & Video
Smart Glasses,Audio & Video
Fan,Outdoor & Travel
Bread Maker,Gaming
Fitness Tracker,Outdoor & Travel
E-Book Reader,Smart Home
Space Heater,Gaming
Power Bank,Personal Care
Popcorn Maker,Fitness & Health
Mixer,Computers & Accessories
USB Flash Drive,Smart Home
Water Purifier,Kitchen Appliances
Slow Cooker,Home Appliances
Slow Cooker,Outdoor & Travel
Smart Lock,Smart Home
Office Chair,Fitness & Health
Air Fryer,Kitchen Appliances
Smart Doorbell,Gaming
Electric Blanket,Security
E-Book Reader,Personal Care
Massage Chair,Computers & Accessories
Smartwatch,Outdoor & Travel
Grill,Home Appliances
Space Heater,Kitchen Appliances
Motherboard,Outdoor & Travel
Mixer,Personal Care
Security Camera,Personal Care
Electric Bike,Smart Home
Sleep Tracker,Electronics
Humidifier,Computers & Accessories
Iron,Home Appliances
